Date,Count,Point
2012-05-11,29,Сыктывкар-2
2012-05-12,41,Сыктывкар-2
2012-05-12,163,Сыктывкар-1
2012-05-13,203,Сыктывкар-1
2012-05-13,75,Сыктывкар-2
2012-05-14,159,Сыктывкар-1
2012-05-14,39,Сыктывкар-2
2012-05-15,27,Сыктывкар-2
2012-05-15,154,Сыктывкар-1
2012-05-16,145,Сыктывкар-1
2012-05-16,44,Сыктывкар-2
2012-05-17,141,Сыктывкар-1
2012-05-17,38,Сыктывкар-2
2012-05-18,158,Сыктывкар-1
2012-05-18,30,Сыктывкар-2
2012-05-19,41,Сыктывкар-2
2012-05-19,150,Сыктывкар-1
2012-05-20,139,Сыктывкар-1
2012-05-20,30,Сыктывкар-2
2012-05-21,25,Сыктывкар-2
2012-05-21,105,Сыктывкар-1
2012-05-22,29,Сыктывкар-2
2012-05-22,105,Сыктывкар-1
2012-05-23,139,Сыктывкар-1
2012-05-23,28,Сыктывкар-2
2012-05-24,138,Сыктывкар-1
2012-05-24,31,Сыктывкар-2
2012-05-25,232,Сыктывкар-1
2012-05-25,47,Сыктывкар-2
2012-05-26,219,Сыктывкар-1
2012-05-26,31,Сыктывкар-2
2012-05-27,139,Сыктывкар-1
2012-05-27,34,Сыктывкар-2
2012-05-28,136,Сыктывкар-1
2012-05-28,24,Сыктывкар-2
2012-05-29,119,Сыктывкар-1
2012-05-29,29,Сыктывкар-2
2012-05-30,39,Сыктывкар-2
2012-05-30,111,Сыктывкар-1
2012-05-31,60,Сыктывкар-2
2012-05-31,150,Сыктывкар-1
2012-06-01,38,Сыктывкар-2
2012-06-01,276,Сыктывкар-1
2012-06-02,161,Сыктывкар-1
2012-06-02,58,Сыктывкар-2
2012-06-03,58,Сыктывкар-2
2012-06-03,132,Сыктывкар-1
2012-06-04,157,Сыктывкар-1
2012-06-04,34,Сыктывкар-2
2012-06-05,171,Сыктывкар-1
2012-06-05,26,Сыктывкар-2
2012-06-06,26,Сыктывкар-2
2012-06-06,146,Сыктывкар-1
2012-06-07,33,Сыктывкар-2
2012-06-07,171,Сыктывкар-1
2012-06-08,43,Сыктывкар-2
2012-06-08,227,Сыктывкар-1
2012-06-09,63,Сыктывкар-2
2012-06-09,293,Сыктывкар-1
2012-06-10,224,Сыктывкар-1
2012-06-10,65,Сыктывкар-2
2012-06-11,44,Сыктывкар-2
2012-06-11,181,Сыктывкар-1
2012-06-12,226,Сыктывкар-1
2012-06-12,45,Сыктывкар-2
2012-06-13,21,Сыктывкар-2
2012-06-13,156,Сыктывкар-1
2012-06-14,168,Сыктывкар-1
2012-06-14,39,Сыктывкар-2
2012-06-15,235,Сыктывкар-1
2012-06-15,59,Сыктывкар-2
2012-06-16,64,Сыктывкар-2
2012-06-16,275,Сыктывкар-1
2012-06-17,174,Сыктывкар-1
2012-06-17,47,Сыктывкар-2
2012-06-18,168,Сыктывкар-1
2012-06-18,33,Сыктывкар-2
2012-06-19,29,Сыктывкар-2
2012-06-19,186,Сыктывкар-1
2012-06-20,26,Сыктывкар-2
2012-06-20,192,Сыктывкар-1
2012-06-21,36,Сыктывкар-2
2012-06-21,195,Сыктывкар-1
2012-06-22,239,Сыктывкар-1
2012-06-22,52,Сыктывкар-2
2012-06-23,235,Сыктывкар-1
2012-06-23,39,Сыктывкар-2
2012-06-24,41,Сыктывкар-2
2012-06-24,202,Сыктывкар-1
2012-06-25,34,Сыктывкар-2
2012-06-25,205,Сыктывкар-1
2012-06-26,176,Сыктывкар-1
2012-06-26,14,Сыктывкар-2
2012-06-27,241,Сыктывкар-1
2012-06-27,51,Сыктывкар-2
2012-06-28,196,Сыктывкар-1
2012-06-28,35,Сыктывкар-2
2012-06-29,72,Сыктывкар-2
2012-06-29,331,Сыктывкар-1
2012-06-30,298,Сыктывкар-1
2012-06-30,63,Сыктывкар-2
2012-07-01,28,Сыктывкар-2
2012-07-01,262,Сыктывкар-1
2012-07-02,245,Сыктывкар-1
2012-07-02,22,Сыктывкар-2
2012-07-03,180,Сыктывкар-1
2012-07-03,16,Сыктывкар-2
2012-07-04,14,Сыктывкар-2
2012-07-04,228,Сыктывкар-1
2012-07-05,14,Сыктывкар-2
2012-07-05,263,Сыктывкар-1
2012-07-06,31,Сыктывкар-2
2012-07-06,264,Сыктывкар-1
2012-07-07,247,Сыктывкар-1
2012-07-07,33,Сыктывкар-2
2012-07-08,16,Сыктывкар-2
2012-07-08,222,Сыктывкар-1
2012-07-09,213,Сыктывкар-1
2012-07-09,18,Сыктывкар-2
2012-07-10,211,Сыктывкар-1
2012-07-10,19,Сыктывкар-2
2012-07-11,16,Сыктывкар-2
2012-07-11,218,Сыктывкар-1
2012-07-12,218,Сыктывкар-1
2012-07-12,15,Сыктывкар-2
2012-07-13,309,Сыктывкар-1
2012-07-13,28,Сыктывкар-2
2012-07-14,241,Сыктывкар-1
2012-07-14,39,Сыктывкар-2
2012-07-15,42,Сыктывкар-2
2012-07-15,294,Сыктывкар-1
2012-07-16,33,Сыктывкар-2
2012-07-16,257,Сыктывкар-1
2012-07-17,242,Сыктывкар-1
2012-07-17,7,Ухта-1
2012-07-17,19,Сыктывкар-2
2012-07-18,236,Сыктывкар-1
2012-07-18,25,Сыктывкар-2
2012-07-18,9,Ухта-1
2012-07-19,230,Сыктывкар-1
2012-07-19,8,Ухта-1
2012-07-19,13,Сыктывкар-2
2012-07-20,305,Сыктывкар-1
2012-07-20,24,Сыктывкар-2
2012-07-20,9,Ухта-1
2012-07-21,13,Ухта-1
2012-07-21,28,Сыктывкар-2
2012-07-21,322,Сыктывкар-1
2012-07-22,239,Сыктывкар-1
2012-07-22,18,Ухта-1
2012-07-22,21,Сыктывкар-2
2012-07-23,20,Сыктывкар-2
2012-07-23,240,Сыктывкар-1
2012-07-23,29,Ухта-1
2012-07-24,27,Ухта-1
2012-07-24,20,Сыктывкар-2
2012-07-24,238,Сыктывкар-1
2012-07-25,20,Ухта-1
2012-07-25,236,Сыктывкар-1
2012-07-25,19,Сыктывкар-2
2012-07-26,253,Сыктывкар-1
2012-07-26,22,Ухта-1
2012-07-26,16,Сыктывкар-2
2012-07-27,38,Сыктывкар-2
2012-07-27,28,Ухта-1
2012-07-27,303,Сыктывкар-1
2012-07-28,273,Сыктывкар-1
2012-07-28,21,Ухта-1
2012-07-28,25,Сыктывкар-2
2012-07-29,20,Ухта-1
2012-07-29,22,Сыктывкар-2
2012-07-29,245,Сыктывкар-1
2012-07-30,28,Ухта-1
2012-07-30,255,Сыктывкар-1
2012-07-30,15,Сыктывкар-2
2012-07-31,38,Ухта-1
2012-07-31,250,Сыктывкар-1
2012-07-31,30,Сыктывкар-2
