LFnext7,LFnext30,LFprev7,LFprev30
205.866942106,119.5,154.75605207,96.0
183.845498087,138.375,97.719861609,101.107650087
141.64429549,99.0,102.915493063,108.204031755
184.836468575,124.0,289.986248888,175.5
203.679734843,119.5,1009.30798818,172.866759162
9.02945863517e+12,104.9375,1.0,1.0
62.5509926021,71.25,471.49272697,142.009287162
82.3942335245,65.0,130.315897238,144.271721642
7.34900544336e+12,1.0,1.25347658774e+13,1.0
1.0,189.0,228.787390134,155.314653137
680.750775948,193.0,93.7857799349,96.0394921986
430.718841824,165.75,164.484333544,95.3816079747
1.0,194.875,127.473703504,135.72448831
18.9956627831,140.0,89.7717210408,104.592886927
300.148374414,181.0,93.1948834034,106.062020265
98.4017257803,103.125,82.4280085958,114.148256093
101.77866833,117.875,441.82771237,187.189489916
127.833696624,150.875,1102.44122345,182.029702894
156.044787402,154.25,664.986279996,151.677618059
139.165572794,152.75,379.674367089,179.43385918
87.4614998989,103.5625,457.90660891,122.74827877
91.2127917372,98.9375,249.625350885,151.290721889
111.656135906,123.25,162.348691961,173.986377635
114.652988705,133.375,93.9239875001,154.403963727
126.496588011,167.625,106.577850884,180.954783303
178.9676757,154.78125,153.125604433,113.411883747
125.879575647,117.646972656,125.050049803,172.46767374
108.868834673,93.5625,96.3820000109,116.017960623
103.328109732,101.0078125,94.1161086587,126.316453604
100.466387941,103.125,106.826425083,138.648833834
95.0,112.875,112.818456604,143.865239393
176.0,138.8125,145.738711268,165.432384038
117.537196953,122.9375,197.662621475,121.441438124
16.0059256559,107.3125,97.8193208297,140.451417306
84.1444169651,97.4731445312,108.286181349,103.274767028
127.690565427,97.6171875,92.2343734079,103.305463478
98.1926772579,100.375,95.7170569145,114.071573052
64.5845576244,108.4375,84.2468691405,113.12019246
185.428639487,1.0,173.780132587,136.192851909
211.857259693,1.0,2541.27542419,129.6875
130.563025072,127.0,100.949369283,2.71116823488e+13
127.20895131,129.875,121.680640352,116.0
133.278788587,130.53125,126.538192183,120.25
155.296526995,128.46875,117.063988138,134.0
224.067915324,131.216796875,100.912780863,99.0
118.503434745,148.0,190.703624829,198.1875
160.047168256,156.25,192.565234491,185.0
529.848604222,133.875,176.514456923,183.875
446.391801251,120.75,137.318756919,135.25
148.193760445,135.0,126.258129052,116.5
133.247138947,127.29296875,113.247349671,118.59375
79.5062206859,102.5,167.233837564,131.75
191.760955558,89.1875,160.037228497,163.0625
91.4565186565,127.0,145.721503837,155.625
187.122555938,155.171875,224.292392806,156.375
171.467417756,129.90625,135.501108592,98.375
84.3777627355,140.1875,3.01365530235,106.40625
150.22516529,138.0546875,144.522671562,107.75
150.999309654,108.5234375,126.671866479,118.4375
158.360918571,115.546875,267.173081175,170.8125
161.331016626,174.65625,256.640257919,148.5
175.93359375,181.328125,175.765094097,136.0
136.927734375,145.78125,112.796594068,122.59375
142.433031188,149.75,87.9963145963,128.46875
129.301060989,147.0,185.557183703,136.8125
115.454239433,130.40625,128.898333566,156.625
193.66018596,119.328125,148.903615874,162.125
167.388291635,170.03125,157.842029092,141.75
106.299108657,167.280883789,172.822721439,162.0
189.47279866,1.0,101.906606041,110.96875
108.118642749,172.84375,116.526710597,8.97620691169e+13
111.29209313,159.0,148.092098597,168.0
140.050903717,166.375,116.861670753,136.125
55.6056811716,67.6875,,
31.9476682203,159.125,117.019381001,172.3125
24.5311103248,50.0625,15.0,15.0
1.26105733985,45.4375,15.0,15.0
87.6174087976,208.125,178.222041962,168.5
1.09876976102e+13,67.9375,15.0,15.0
99359285227.5,204.625,1.0,1.0
1.0,43.546875,15.0,15.0
163.513162776,165.71875,123.036823199,127.5
28.0675687636,38.28125,44.5112240896,44.5112240896
267.488896921,161.436035156,119.465428651,116.75
5.51604415148,30.984375,76.8412240902,76.8412240902
93.4593376406,128.556640625,156.669028706,144.9375
201.65973553,126.125,223.439073733,164.40625
125.81354858,43.5668945312,1.0,1.0
200.969305092,180.15625,1.0,170.0
69.1516306208,38.90625,79.830802962,17.9700501148
222.953241983,188.984375,158.242061596,172.5
87.1864928878,40.578125,13.2736478846,13.8139525509
30.6331265266,41.625,49.5285026687,48.5523869919
165.768730563,133.0625,172.168547858,189.1875
44.6707433573,18.03125,78.6409103426,102.422285175
158.502904894,115.34375,231.640289831,184.0
129.798440494,104.744140625,196.012593617,181.5
46.3392058497,18.109375,11.4255495372,48.0664856957
95.7997005751,105.22265625,244.114647915,162.0
40.2255700988,21.9140625,50.3472972901,69.875
9.73533714129,21.505859375,58.0602668426,60.375
472.042305366,98.4619140625,255.271782482,166.75
23.0145903639,40.640625,86.0693246104,142.78125
344.893593682,148.96875,115.070853067,134.75
670.389408119,158.875,173.603065463,194.0
1.0,47.984375,42.3255698164,54.0
1.0,134.625,166.917979161,215.375
32.6583941582,44.84375,30.2571027024,28.0
44.2781867721,16.859375,36.009282045,44.4270629883
1.0,125.3203125,154.263671402,157.375
147.627787356,123.53125,96.4406134998,147.375
25.6506927451,30.0,30.9019507279,34.5625
26.0452876364,33.28515625,29.4040900512,31.875
128.457052397,114.12890625,102.878629465,119.125
1.0,39.875,32.1794797707,34.453125
111.910966985,121.453125,195.076951302,112.5
15.2871865376,52.65625,29.7431191466,22.9412997761
228.267611041,177.6328125,163.471864819,118.983860694
241.495686406,160.8125,1.0,181.0
183.197365011,65.38671875,10.0640971641,1.0
184.232394727,127.568359375,410.892548202,187.75
139.873657527,64.703125,27.5375281519,23.5885558788
136.3029196,139.794279099,410.241288703,134.375
41.861063896,46.5546875,25.3852714934,24.5841779692
49.8464541083,45.90625,23.1471381967,17.625
146.925833777,130.74609375,406.018366465,144.421875
59.3635806899,54.703125,32.1853606617,21.75
118.504355254,138.16015625,99.8241535904,123.9375
296.148595481,1.0,117.432501844,128.9375
47.1709128591,1.0,30.5086718931,26.671875
1.0,214.25,192.864301951,1.17499404332e+14
10.0426431434,44.4296875,186.971728152,1.56433220539e+14
179.346685875,227.0,211.262073285,1.0
59.5233360169,56.78125,146.141010524,1.56433220539e+14
1.0,179.75,101.060915684,140.09375
71.5550600868,47.78515625,11.1981830215,76.984375
1.0,172.5,59.5422138513,95.375
44.8107990827,25.33203125,1.0,65.5
22.5497790446,31.7807617188,1.0,60.96875
121.954488642,150.3125,122.816507653,113.28125
144.078980195,156.9375,174.838847843,142.5625
1.0,32.0078125,40.1085974015,46.875
416.920750425,34.8125,67.5871160247,52.375
290.391906675,177.25,16.2445672348,152.375
376.221105635,262.8125,155.755209499,141.046875
89.2705400104,56.0,47.6357386244,32.25
337.645591169,239.625,148.565104056,233.0859375
108.169006767,62.8125,51.4078705503,39.5546875
108.203125,43.4375,43.8045969192,59.5859375
355.636060201,167.75,264.852908794,229.5
251.95392505,175.375,160.643111473,164.690376077
82.765625,33.9375,42.0217392764,31.33984375
43.6240004269,33.1875,31.1938840623,27.66796875
303.038161335,147.8125,137.892239906,173.524213275
262.183470617,142.8125,229.278700305,168.484375
40.3124213726,35.9853515625,62.4359662504,44.8359375
77.8844397278,33.671875,110.609546148,45.015625
28.557770208,192.625,1.0,144.827480338
46.7986065085,43.875,1.0,49.75
388.140235473,310.60546875,246.756358789,243.702872998
188.844944277,185.8125,212.870522229,232.5
49.1845271829,40.2421875,55.4811694925,59.265625
31.7157780984,36.8125,18.560127679,65.0
221.426343915,177.96875,305.372457018,232.453125
37.0942628907,25.71875,1.0,40.75
190.738033136,127.59375,21.3441945242,187.90625
30.9155623648,23.6875,1.0,48.703125
246.041060979,117.59375,1.0,186.140625
1.0,28.3125,17.895806142,42.2578125
101.264566588,197.2578125,88.5234006114,184.25
1.0,32.15625,21.3791612884,45.0
789.953993018,202.25,1.0,263.25
1.0,41.625,21.5405002217,54.75
789.4375,286.25,349.625809146,265.492430492
242.890625,222.75,305.17033922,264.515625
40.90625,54.8125,68.2802965736,58.609375
196.724715858,228.75,218.405864735,214.952605538
48.678491902,51.125,27.8964452769,52.671875
1.0,44.25,39.2105172649,12.390625
52.7592716752,185.09375,189.342045851,205.5
248.219690408,223.625,182.733376136,213.364063602
75.9073529185,52.375,39.4060794743,26.03125
1.0,47.3480224609,25.976217621,25.546875
170.913485536,226.75,183.104852033,191.9375
79.4517380617,55.26953125,1.0,30.625
95.8881714048,270.75,409.464816835,214.028320312
56.3064499414,54.90234375,62.4551097062,43.3515625
331.620526715,333.5,394.683711724,260.271484375
25.6142128509,3.84841154728e+13,107.928869795,58.875
390.925797197,1.0,1894.5377947,276.50390625
20.9933070313,27.46875,29.3247966771,1.0
9.84754235383,230.5,391.229225588,1.74897144055e+13
22.4149339404,19.640625,59.7685490228,11.15625
201.302131781,210.0,1.0,279.84375
276.155434419,217.4609375,1.0,272.5625
27.7218356404,21.19921875,83.9876279031,13.625
23.0506905484,19.890625,1.0,14.416015625
262.390832689,230.875,198.47982402,206.375
216.009279366,238.25,207.248022725,209.78125
15.4818834555,21.0234375,2.50230829043,18.462890625
28.8420773358,30.064453125,37.3049706619,33.546875
259.035916787,290.76953125,367.118604725,312.015179105
23.506645585,32.42578125,40.6808594694,39.90234375
278.488689065,262.09375,336.677020138,302.296041203
114.021335096,248.485839844,331.176763887,243.75
17.1594553622,29.3984375,25.2175253538,29.40625
240.127051328,241.841796875,228.602713705,227.65625
30.2963513156,29.90625,1.0,6.1875
505.18051275,250.609375,173.396876122,203.63671875
15.6514156108,29.375,40.4186764893,11.75
21.6739350428,27.703125,15.7503522407,13.125
488.520731466,255.515625,196.23781108,219.3125
452.02564087,258.4609375,188.781115618,240.6875
28.9609461757,23.0625,16.8022441869,12.5
32.5498406529,33.96875,44.8859190327,32.0
223.69542766,292.3125,239.923258299,328.150390625
353.031104341,294.09375,272.844171384,292.90625
41.8312450533,36.203125,30.8070774639,35.125
48.3568946841,13.375,37.5141298478,22.83984375
283.373749317,246.75,204.784783527,250.15625
245.617352273,244.3828125,348.044972657,225.0
19.4821832029,14.8828125,41.5922073504,19.875
19.4306468957,15.7890625,32.1902886816,31.125
232.469307769,233.9375,263.19126509,250.0625
28.835874112,1.0,,
19.1525281141,13.1599121094,18.8764011071,29.84375
20.0138643836,1.0,7.0,7.0
236.003166831,238.71875,165.504438405,235.9609375
26.5407628989,1.0,7.0,7.0
239.814262375,248.2109375,109.075556746,256.681640625
25.6233533553,11.84765625,23.5748850638,32.65625
26.7818559216,24.546875,7.0,7.0
319.283305883,294.75,22.661911327,388.97265625
26.4189301348,23.4267578125,32.39657232,45.96875
275.166978427,259.796386719,144.609123907,288.625
45.2447769119,15.75,7.0,7.0
29.5356994601,27.09765625,31.6175923196,51.46875
1.0,242.08984375,100.148281784,284.96875
6.08193185481e+11,15.765625,1.26862786778e+11,1.0
10215281337.6,12.609375,56624955.0245,56624955.0245
22.1612891859,13.5883789062,7.55102779391,7.55102779391
1.0,15.8203125,30.2119684091,34.3125
244.177788285,239.2578125,249.925490626,277.09375
1.0,8.09765625,43.9774772653,43.9774772653
18.2267618871,20.62109375,19.3626669167,24.75
223.405621448,234.015625,237.55597086,276.5
33.375375644,5.53125,32.6543873646,24.4250830097
254.672814391,245.84375,238.912909337,276.0625
24.2891421394,18.1494140625,20.4529817234,22.125
21.4223761185,14.3515625,21.0742346646,21.578125
208.179954895,251.44140625,249.106758423,324.4375
24.2961833222,18.21875,22.1274801016,26.4890605834
8.87188125317,43.3125,26.2386277708,42.3282238339
23.6595753848,25.46875,21.6659528679,34.375
237.857293277,292.09375,321.962104169,356.0
10.772810812,33.1953125,26.8588325321,30.208984375
212.633796644,277.0625,328.981329877,284.0
42.4491221065,40.6953125,9.44374974412,29.7164305588
1.24301706412e+11,34.3125,1.0,7.66247846028e+11
3.39048243053e+11,19.3564453125,1.0,1.3910575749e+11
3.35763993741e+11,264.41796875,17239192311.3,1.0
253.843982652,244.6875,249.551057506,251.095664444
45.138179886,27.17578125,12.1398673915,25.8112789677
28.9717207492,46.9375,10.2874989088,50.2773542632
1.0,5.29708633185e+11,245.105814528,247.532473611
1.0,2.56599690321e+13,16.7135836065,30.5194812182
9.81188929674e+11,1.0,29.0691232849,9.16293791467
94.0,24.921875,13.8694569572,12.9934988563
27.6977539062,14.1171875,16.6236754209,20.8927918159
16.75,211.8125,243.407461621,246.895503142
75.5,34.71875,33.4910620106,29.400304906
1.0,266.90234375,246.964454496,271.254946086
1.0,14.609375,22.1933097413,10.0078727246
390.163220207,322.3125,266.409502759,306.982185397
24.0934873975,27.3125,21.5836108916,24.3216800983
83.083620222,86.59375,26.8303762578,41.3610106903
212.188182339,279.75,314.533091507,271.386781718
110.146512814,66.359375,48.4358934656,29.6511185047
20.8933862136,31.5078125,23.9810120325,28.6017844309
44.2102239336,21.6953125,25.7555963723,19.973393425
133.889052388,280.5,258.779124269,249.658963649
70.1285333719,62.921875,49.0100909481,42.261428124
205.467056027,233.5,316.075593482,233.442518204
73.404609897,56.625,15.7119282631,58.9629828864
17.8866961388,17.46875,3.00001081025,16.103928853
37.749820963,40.5625,21.9454194119,45.3116403966
277.601390828,242.359375,300.998519379,245.623907463
17.7960125635,23.4965820312,10.1155769178,15.8666884112
264.765746508,245.75,2412.76180817,247.059172909
12.5155555562,21.18359375,19.3049924644,14.0029041763
52.2112147076,47.875,21.9825517294,48.3434762713
81.6800615467,69.21875,38.6985139478,48.9742471683
255.728961391,250.5,315.161735075,263.905740683
30.3198154953,23.8564453125,18.3904040616,14.4482449558
92.1283025145,110.15625,1.0,63.2862990989
41.2662671446,32.6728515625,104.689220116,17.4621046129
289.203911044,341.0,1117.95802176,301.990782985
