NextExisting1Value,NextExisting2Value,NextExisting3Value,NextExisting7Value,NextExisting14Value,NextExisting21Value,NextExisting30Value
,23.0,23.0,28.2,32.8,31.9285714286,32.9473684211
,34.0,34.0,48.2,44.4,42.9285714286,41.1578947368
44.0,44.0,40.5,42.5,44.3,43.0666666667,44.65
104.0,104.0,108.0,91.3333333333,91.8,90.3333333333,85.75
16.0,16.0,23.5,22.1666666667,22.3,21.8,24.2
19.0,19.0,23.0,25.1666666667,24.2,25.0,24.85
49.0,49.0,60.5,51.1666666667,55.3,50.6,50.1
58.0,58.0,73.0,67.8333333333,116.2,98.4,92.7
23.0,23.0,24.0,26.5,32.8,32.6,33.4
78.0,78.0,103.0,96.1666666667,97.6,96.2666666667,100.15
192.0,192.0,242.5,203.666666667,195.1,186.933333333,187.55
61.0,61.0,87.5,80.1666666667,78.2,74.6666666667,73.8
161.0,161.0,178.5,150.333333333,151.7,146.133333333,152.5
83.0,83.0,104.5,106.166666667,106.2,104.133333333,106.1
75.0,75.0,83.5,80.8333333333,83.5,76.8,79.75
85.0,85.0,90.0,78.1666666667,76.4,83.1333333333,83.6
34.0,34.0,46.0,45.1666666667,44.4,42.2,41.35
123.0,123.0,190.0,146.5,144.1,142.0,146.9
90.0,90.0,88.5,90.0,92.3,86.2666666667,89.45
201.0,201.0,204.0,192.0,197.5,192.2,200.5
58.0,58.0,72.0,68.5,76.0,74.7333333333,74.65
57.0,57.0,67.5,76.0,78.3,78.3333333333,80.45
189.0,189.0,231.5,219.833333333,216.2,217.733333333,219.8
90.0,90.0,101.5,100.166666667,92.9,93.9333333333,92.55
41.0,41.0,54.5,59.6666666667,59.8,57.2,58.05
161.0,161.0,198.5,197.666666667,197.6,192.466666667,197.25
50.0,50.0,59.5,49.0,54.9,58.6666666667,57.85
47.0,47.0,57.0,61.0,55.9,51.7333333333,49.6
156.0,156.0,168.0,172.666666667,182.2,172.933333333,177.9
89.0,89.0,94.0,87.1666666667,78.5,69.9333333333,72.95
30.0,30.0,44.5,46.3333333333,48.9,45.7333333333,45.35
46.0,46.0,49.5,55.3333333333,53.1,49.1333333333,51.55
150.0,150.0,199.5,162.333333333,159.1,154.4,158.25
48.0,48.0,53.0,49.0,47.5,48.7333333333,52.1
90.0,90.0,95.0,86.8333333333,89.8,87.0,88.4
15.0,15.0,13.0,19.3333333333,32.0,37.2666666667,43.3
45.0,45.0,41.5,42.3333333333,40.4,38.1333333333,37.7
31.0,31.0,42.5,30.0,30.5,31.0,32.9
49.0,49.0,66.0,69.3333333333,74.8,68.7333333333,65.15
174.0,174.0,197.0,178.5,175.7,173.0,179.55
64.0,64.0,72.5,68.8333333333,68.3,69.3333333333,69.15
135.0,135.0,134.0,124.166666667,125.6,118.6,126.15
68.0,68.0,83.0,67.6666666667,66.0,72.5333333333,76.15
,113.0,100.0,99.3333333333,93.2222222222,94.2142857143,94.15
,100.0,97.5,89.6666666667,89.7777777778,86.7857142857,88.7
,58.0,54.0,46.5,45.5555555556,42.7857142857,41.4
,95.0,92.0,74.1666666667,75.4444444444,83.0,83.25
,133.0,122.5,118.0,124.555555556,117.428571429,126.55
,112.0,99.5,86.1666666667,90.4444444444,89.3571428571,85.1
,236.0,238.5,197.833333333,201.666666667,194.714285714,200.65
,92.0,90.5,84.5,84.4444444444,76.9285714286,130.45
,68.0,66.0,59.5,61.8888888889,58.3571428571,59.45
,83.0,78.5,68.0,77.6666666667,70.1428571429,66.5
,38.0,36.5,40.0,39.8888888889,37.6428571429,37.5
,25.0,27.5,28.5,33.8888888889,33.2857142857,34.25
,88.0,82.5,69.5,122.666666667,101.285714286,94.75
,81.0,78.5,65.0,68.7777777778,69.7142857143,73.0
,220.0,208.5,174.666666667,175.888888889,172.928571429,180.55
,69.0,66.5,48.3333333333,55.4444444444,59.2857142857,59.6
,58.0,47.0,49.1666666667,47.4444444444,48.7857142857,52.5
,54.0,38.5,29.3333333333,30.4444444444,31.0,33.35
,99.0,87.0,82.8333333333,77.3333333333,68.5714285714,72.7
,78.0,71.5,82.3333333333,80.6666666667,79.8571428571,82.4
,114.0,118.5,79.5,80.1111111111,75.6428571429,74.75
,72.0,69.0,51.1666666667,56.0,50.7142857143,49.7
,37.0,41.5,41.0,44.3333333333,43.0,45.15
,126.0,119.0,109.5,108.777777778,105.642857143,108.95
,249.0,218.5,162.0,160.111111111,154.714285714,158.25
,207.0,207.5,194.166666667,197.111111111,191.571428571,205.1
,67.0,60.5,59.3333333333,56.8888888889,52.0714285714,49.1
,180.0,162.0,174.166666667,185.111111111,174.142857143,178.35
,293.0,249.0,196.833333333,195.444444444,186.571428571,192.2
,53.0,56.0,55.8333333333,53.8888888889,49.3571428571,51.9
,257.0,200.0,150.0,146.444444444,143.357142857,150.5
,31.0,27.5,22.8333333333,23.0,22.2142857143,25.7
,128.0,115.0,96.1666666667,99.7777777778,97.5714285714,103.9
,11.0,21.5,24.8333333333,33.8888888889,38.8571428571,46.25
,19.0,19.0,21.1666666667,21.3333333333,20.3571428571,20.7
,59.0,64.0,47.5,51.0,46.8571428571,47.3
,196.0,186.0,147.333333333,150.666666667,145.071428571,153.7
,274.0,276.0,219.166666667,219.222222222,219.785714286,223.6
,98.0,82.0,63.8333333333,65.7777777778,72.8571428571,77.75
,27.0,33.5,26.3333333333,24.7777777778,25.4285714286,25.95
,86.0,74.5,68.5,78.0,75.9285714286,75.45
,87.0,87.0,89.1666666667,92.5555555556,86.0,90.15
95.0,92.0,85.3333333333,74.1666666667,75.4444444444,84.0,82.380952381
128.0,115.0,110.333333333,96.1666666667,99.7777777778,99.1333333333,104.619047619
207.0,207.5,209.0,194.166666667,197.111111111,197.533333333,206.619047619
114.0,118.5,102.666666667,79.5,80.1111111111,75.7333333333,74.6666666667
83.0,78.5,83.6666666667,68.0,77.6666666667,70.2666666667,67.2857142857
257.0,200.0,178.0,150.0,146.444444444,146.666666667,150.238095238
81.0,78.5,77.6666666667,65.0,68.7777777778,69.7333333333,72.7619047619
112.0,99.5,102.666666667,86.1666666667,90.4444444444,88.2666666667,85.1428571429
54.0,38.5,33.0,29.3333333333,30.4444444444,31.5333333333,33.8571428571
38.0,36.5,41.3333333333,40.0,39.8888888889,38.0,38.2857142857
58.0,54.0,52.6666666667,46.5,45.5555555556,41.8,41.380952381
27.0,33.5,29.6666666667,26.3333333333,24.7777777778,25.1333333333,26.0476190476
98.0,82.0,73.3333333333,63.8333333333,65.7777777778,76.8,77.5714285714
59.0,64.0,59.0,47.5,51.0,46.8666666667,47.8571428571
180.0,162.0,176.666666667,174.166666667,185.111111111,178.466666667,178.666666667
53.0,56.0,62.3333333333,55.8333333333,53.8888888889,50.4666666667,51.5238095238
274.0,276.0,267.333333333,219.166666667,219.222222222,224.133333333,221.904761905
113.0,100.0,104.333333333,99.3333333333,93.2222222222,93.3333333333,94.5238095238
220.0,208.5,191.666666667,174.666666667,175.888888889,176.466666667,181.238095238
293.0,249.0,232.0,196.833333333,195.444444444,189.666666667,194.904761905
99.0,87.0,100.333333333,82.8333333333,77.3333333333,70.6666666667,73.8095238095
69.0,66.5,56.0,48.3333333333,55.4444444444,59.8,61.0
67.0,60.5,74.0,59.3333333333,56.8888888889,52.3333333333,48.6666666667
72.0,69.0,61.6666666667,51.1666666667,56.0,51.7333333333,49.7619047619
92.0,90.5,85.3333333333,84.5,84.4444444444,77.9333333333,128.333333333
126.0,119.0,122.333333333,109.5,108.777777778,106.466666667,108.333333333
58.0,47.0,53.0,49.1666666667,47.4444444444,49.2,52.1904761905
236.0,238.5,227.333333333,197.833333333,201.666666667,195.8,202.476190476
133.0,122.5,122.333333333,118.0,124.555555556,119.933333333,127.0
25.0,27.5,30.3333333333,28.5,33.8888888889,32.6,35.5714285714
37.0,41.5,43.3333333333,41.0,44.3333333333,43.3333333333,45.8571428571
100.0,97.5,91.6666666667,89.6666666667,89.7777777778,88.2666666667,88.3333333333
86.0,74.5,72.6666666667,68.5,78.0,77.2666666667,75.1904761905
88.0,82.5,82.6666666667,69.5,122.666666667,100.466666667,94.0
19.0,19.0,22.6666666667,21.1666666667,21.3333333333,20.8666666667,21.2380952381
87.0,87.0,99.6666666667,89.1666666667,92.5555555556,87.5333333333,92.9523809524
31.0,27.5,25.0,22.8333333333,23.0,23.2666666667,27.4285714286
68.0,66.0,64.3333333333,59.5,61.8888888889,58.3333333333,59.0
249.0,218.5,192.666666667,162.0,160.111111111,159.266666667,157.238095238
196.0,186.0,175.666666667,147.333333333,150.666666667,149.066666667,156.333333333
11.0,21.5,19.3333333333,24.8333333333,33.8888888889,40.4666666667,48.4285714286
78.0,71.5,87.0,82.3333333333,80.6666666667,81.5333333333,81.8095238095
87.0,106.0,98.3333333333,95.5,94.1111111111,87.5714285714,93.7619047619
205.0,201.5,192.0,185.0,179.777777778,182.285714286,188.238095238
19.0,24.5,21.3333333333,22.1666666667,19.7777777778,21.0,21.5238095238
102.0,101.5,92.3333333333,96.1666666667,98.6666666667,97.0714285714,102.285714286
66.0,61.0,61.6666666667,59.0,63.6666666667,75.2857142857,76.0476190476
46.0,46.5,45.6666666667,44.5,46.1111111111,43.7857142857,45.8571428571
23.0,22.5,21.6666666667,26.3333333333,28.3333333333,29.9285714286,32.8095238095
89.0,82.0,76.3333333333,86.0,81.1111111111,76.9285714286,129.380952381
176.0,165.5,145.666666667,144.0,146.555555556,145.714285714,153.476190476
63.0,66.0,62.0,74.0,79.1111111111,76.6428571429,73.3333333333
144.0,175.0,170.0,184.0,181.222222222,178.357142857,179.428571429
54.0,77.5,69.0,59.3333333333,56.1111111111,51.2857142857,47.4285714286
278.0,264.0,234.0,217.166666667,223.111111111,220.571428571,216.285714286
74.0,84.0,73.0,79.6666666667,76.3333333333,69.3571428571,66.0
59.0,67.0,57.3333333333,56.3333333333,53.0,50.2857142857,51.3333333333
89.0,80.5,78.6666666667,72.3333333333,73.2222222222,83.2142857143,82.0952380952
143.0,138.5,128.0,134.5,135.777777778,138.785714286,144.047619048
241.0,223.0,206.666666667,201.666666667,201.777777778,192.928571429,199.0
87.0,100.0,102.666666667,93.1666666667,89.6666666667,91.9285714286,94.1428571429
76.0,76.0,68.3333333333,64.3333333333,69.7777777778,68.9285714286,71.619047619
69.0,59.0,54.0,48.6666666667,49.6666666667,46.0,46.3333333333
87.0,98.0,86.6666666667,88.3333333333,91.1111111111,86.5714285714,84.4285714286
112.0,117.0,114.0,124.333333333,122.333333333,119.0,126.380952381
188.0,164.5,149.666666667,149.833333333,153.0,152.857142857,150.333333333
197.0,177.5,158.0,171.833333333,171.444444444,173.357142857,178.476190476
95.0,87.5,81.3333333333,90.1666666667,89.6666666667,87.4285714286,88.9047619048
66.0,56.5,51.0,53.3333333333,53.3333333333,50.2857142857,47.4285714286
32.0,23.5,20.6666666667,29.0,39.4444444444,42.5714285714,49.6666666667
123.0,97.0,80.3333333333,77.3333333333,78.2222222222,73.0,71.380952381
64.0,49.5,43.6666666667,50.3333333333,58.1111111111,59.1428571429,60.2857142857
75.0,101.0,80.0,80.8333333333,72.0,68.6428571429,71.0952380952
208.0,210.0,188.0,198.166666667,198.333333333,196.857142857,206.952380952
64.0,62.5,65.3333333333,58.6666666667,60.6666666667,57.6428571429,57.6666666667
30.0,33.0,31.0,34.0,34.3333333333,33.1428571429,36.380952381
24.0,22.0,23.3333333333,22.6666666667,22.3333333333,22.7142857143,27.4285714286
112.0,120.5,115.0,112.0,107.0,105.071428571,106.666666667
36.0,50.5,48.3333333333,48.3333333333,46.3333333333,48.5714285714,51.6666666667
77.0,80.0,70.3333333333,70.0,121.777777778,101.357142857,92.8571428571
35.0,43.0,44.0,40.3333333333,39.3333333333,38.0,38.3333333333
40.0,31.0,26.3333333333,27.0,26.0,25.0,25.5714285714
65.0,91.5,85.0,82.3333333333,82.7777777778,81.7857142857,82.2857142857
50.0,50.0,49.6666666667,44.5,44.1111111111,40.6428571429,40.2857142857
155.0,130.5,123.0,141.5,142.555555556,146.5,152.35
75.0,70.0,76.3333333333,85.1666666667,78.1111111111,76.2857142857,131.4
101.0,87.5,89.6666666667,97.6666666667,94.2222222222,99.7857142857,102.3
205.0,189.5,182.666666667,199.166666667,199.111111111,191.714285714,196.9
134.0,120.5,118.666666667,132.5,136.333333333,138.785714286,144.1
56.0,59.5,58.0,60.6666666667,64.2222222222,75.9285714286,76.55
71.0,59.0,61.0,70.8333333333,74.5555555556,71.5,68.8
158.0,138.5,160.0,171.166666667,167.555555556,173.5,177.55
22.0,21.0,24.0,28.0,29.5555555556,32.3571428571,33.3
76.0,64.5,64.0,65.6666666667,70.6666666667,68.5,71.4
198.0,185.5,177.333333333,185.0,178.555555556,181.5,187.4
72.0,73.5,66.6666666667,68.1666666667,75.0,82.5,81.75
36.0,31.5,27.0,35.3333333333,34.7777777778,33.7142857143,36.7
65.0,54.5,50.6666666667,50.0,48.0,50.3571428571,52.45
94.0,72.5,70.0,82.0,75.7777777778,67.9285714286,65.6
51.0,48.5,45.3333333333,43.1666666667,39.3333333333,37.6428571429,38.5
125.0,104.0,92.0,97.3333333333,93.5555555556,88.0714285714,94.1
127.0,82.5,86.6666666667,77.3333333333,71.0,68.7857142857,70.9
47.0,45.5,42.6666666667,46.6666666667,46.0,44.3571428571,45.85
109.0,86.5,81.6666666667,92.8333333333,92.7777777778,87.2857142857,84.3
122.0,115.0,121.666666667,128.666666667,122.666666667,121.785714286,127.1
80.0,74.5,78.6666666667,89.3333333333,88.2222222222,87.2142857143,88.6
20.0,23.0,20.6666666667,23.0,21.7777777778,23.7857142857,27.6
250.0,212.0,192.666666667,206.833333333,221.333333333,217.285714286,213.2
206.0,183.0,185.333333333,193.166666667,185.222222222,180.071428571,181.2
118.0,95.0,85.3333333333,85.3333333333,82.5555555556,83.7857142857,83.15
22.0,19.5,21.6666666667,24.1666666667,24.0,24.0,24.85
50.0,49.5,43.0,44.3333333333,44.0,40.4285714286,39.8
101.0,76.5,66.0,57.8333333333,54.1111111111,49.7142857143,47.1
69.0,61.5,68.0,81.6666666667,79.2222222222,77.7142857143,73.85
47.0,43.5,40.0,54.0,50.4444444444,48.7857142857,46.5
15.0,15.0,19.3333333333,36.1666666667,44.0,46.0,50.55
75.0,56.5,58.0,55.8333333333,51.6666666667,49.4285714286,50.95
129.0,116.5,105.333333333,110.166666667,106.0,103.928571429,106.4
35.0,33.5,37.0,53.8333333333,61.5555555556,59.7142857143,60.1
141.0,130.5,129.0,143.5,145.888888889,150.785714286,148.45
212.0,178.0,178.666666667,194.833333333,194.777777778,197.714285714,206.9
30.0,22.5,23.0,22.6666666667,19.6666666667,21.2142857143,21.65
61.0,66.0,61.6666666667,61.8333333333,59.5555555556,58.2142857143,57.35
49.0,46.5,40.0,50.3333333333,46.6666666667,44.6428571429,45.2
113.0,110.5,103.666666667,90.8333333333,91.0,90.7142857143,94.5
83.0,67.0,61.3333333333,148.5,120.333333333,102.714285714,93.65
15.0,21.5,30.3333333333,41.1666666667,44.2222222222,47.8571428571,52.35
71.0,62.0,54.6666666667,60.6666666667,57.6666666667,58.0714285714,56.25
15.0,19.5,19.6666666667,20.6666666667,19.5555555556,20.4285714286,21.9
54.0,67.5,64.3333333333,80.6666666667,78.0,77.7142857143,73.6
106.0,107.0,119.0,138.166666667,140.777777778,143.285714286,150.25
47.0,56.0,56.3333333333,68.8333333333,71.0,70.5714285714,68.1
17.0,21.5,23.0,22.3333333333,24.1111111111,24.5,24.05
119.0,161.0,157.666666667,168.0,169.666666667,172.285714286,181.6
44.0,40.5,38.6666666667,44.8333333333,44.1111111111,44.7857142857,45.55
27.0,22.5,26.6666666667,35.6666666667,34.6666666667,33.1428571429,36.3
108.0,121.5,113.666666667,125.666666667,119.0,121.714285714,129.7
40.0,36.5,40.6666666667,53.1666666667,50.1111111111,48.2142857143,46.25
120.0,123.0,131.333333333,143.833333333,145.111111111,150.071428571,148.05
108.0,99.0,94.3333333333,87.6666666667,89.1111111111,90.3571428571,93.9
49.0,39.5,40.3333333333,42.0,42.2222222222,39.5,38.8
174.0,164.0,171.0,195.166666667,214.333333333,211.857142857,208.4
51.0,58.0,52.3333333333,74.6666666667,70.1111111111,63.9285714286,63.9
32.0,38.0,40.6666666667,55.1666666667,61.2222222222,59.7142857143,61.1
65.0,77.0,83.6666666667,84.0,76.6666666667,76.5,132.9
74.0,84.0,82.0,94.5,93.0,99.0,102.25
174.0,171.5,168.333333333,188.833333333,193.111111111,189.071428571,196.2
75.0,64.0,63.0,70.5,79.7777777778,83.2857142857,81.6
107.0,111.0,122.0,130.666666667,135.888888889,138.642857143,143.0
69.0,78.0,87.6666666667,88.8333333333,88.0,86.1428571429,88.2
46.0,42.5,38.6666666667,39.1666666667,37.5555555556,35.8571428571,37.5
26.0,21.0,20.6666666667,22.0,21.5555555556,23.7857142857,27.8
64.0,68.0,69.6666666667,84.3333333333,89.6666666667,83.8571428571,81.4
173.0,167.0,161.666666667,177.166666667,177.888888889,176.285714286,184.55
38.0,49.5,49.3333333333,49.6666666667,47.7777777778,47.9285714286,48.95
144.0,162.0,179.333333333,191.166666667,189.888888889,196.142857143,207.55
44.0,43.5,45.3333333333,44.6666666667,46.4444444444,49.5,52.6
20.0,25.0,25.6666666667,29.1666666667,29.7777777778,32.5714285714,33.45
44.0,35.5,36.0,47.0,45.0,43.6428571429,45.3
51.0,50.5,56.3333333333,142.666666667,118.111111111,100.285714286,92.8
52.0,48.5,44.6666666667,48.3333333333,47.4444444444,45.7857142857,44.6
160.0,175.0,171.666666667,189.333333333,181.444444444,175.285714286,180.0
72.0,69.0,77.6666666667,77.5,79.0,80.1428571429,82.0
38.0,66.5,65.3333333333,65.8333333333,62.4444444444,63.8571428571,66.95
104.0,93.5,96.6666666667,102.0,104.333333333,100.571428571,104.7
83.0,75.5,78.6666666667,89.0,85.6666666667,85.3571428571,93.5
63.0,59.0,54.3333333333,62.0,64.0,76.6428571429,77.0
53.0,58.0,52.3333333333,64.3333333333,69.8888888889,67.1428571429,71.75
135.0,116.5,116.5,129.2,117.888888889,122.769230769,130.85
72.0,72.5,72.5,88.4,88.6666666667,85.3846153846,81.7
63.0,52.0,52.0,66.6,69.3333333333,68.2307692308,72.5
27.0,32.0,32.0,47.6,44.1111111111,43.6153846154,44.25
89.0,93.0,93.0,87.8,77.2222222222,77.3846153846,132.95
44.0,45.0,45.0,59.8,62.4444444444,61.8461538462,62.75
190.0,177.5,177.5,195.2,181.888888889,176.461538462,179.4
53.0,57.0,57.0,69.6,82.5555555556,83.9230769231,82.0
33.0,41.0,41.0,55.8,49.5555555556,48.8461538462,45.8
68.0,76.5,76.5,90.2,84.2222222222,85.5384615385,94.5
50.0,59.0,59.0,161.0,117.0,104.076923077,93.95
18.0,26.5,26.5,37.4,34.0,33.6153846154,36.85
87.0,97.0,97.0,92.8,89.3333333333,87.4615384615,89.65
115.0,129.5,129.5,135.4,136.0,141.076923077,143.3
65.0,61.0,61.0,73.2,71.7777777778,72.3846153846,68.0
30.0,28.5,28.5,31.0,31.4444444444,33.5384615385,34.05
126.0,137.0,137.0,148.6,147.888888889,152.384615385,147.45
61.0,55.0,55.0,52.0,48.3333333333,48.6923076923,48.35
65.0,53.0,53.0,79.4,69.4444444444,64.9230769231,64.1
95.0,79.0,79.0,71.4,64.6666666667,65.8461538462,67.9
108.0,125.5,125.5,144.6,141.333333333,146.153846154,152.8
26.0,26.0,26.0,23.4,24.2222222222,25.0769230769,24.45
180.0,197.0,197.0,200.6,193.666666667,200.153846154,210.5
94.0,86.0,86.0,98.6,96.8888888889,100.923076923,103.9
30.0,36.0,36.0,40.6,40.0,38.7692307692,37.7
154.0,169.5,169.5,199.4,216.222222222,214.769230769,208.5
83.0,93.0,93.0,101.6,102.222222222,100.307692308,105.45
203.0,177.0,177.0,177.8,174.333333333,176.384615385,183.7
55.0,50.0,50.0,61.8,68.7777777778,77.6923076923,77.3
45.0,41.0,41.0,47.6,46.7777777778,45.3076923077,43.55
37.0,36.0,36.0,45.0,42.8888888889,44.8461538462,44.55
39.0,35.0,35.0,37.8,37.0,35.0769230769,36.6
90.0,87.5,87.5,83.6,86.7777777778,89.0,94.4
24.0,22.0,22.0,21.8,20.2222222222,20.8461538462,22.65
16.0,18.0,18.0,21.2,20.5555555556,23.6153846154,27.6
53.0,46.5,46.5,58.6,55.2222222222,57.0769230769,54.8
28.0,38.0,38.0,46.4,47.6666666667,50.3846153846,53.8
66.0,80.5,80.5,78.6,78.5555555556,80.7692307692,83.15
43.0,46.0,46.0,44.8,48.0,49.9230769231,53.05
169.0,165.5,165.5,191.8,191.111111111,190.230769231,196.45
81.0,69.5,69.5,86.0,81.5555555556,79.5384615385,73.5
161.0,156.0,156.0,178.0,177.333333333,176.538461538,182.2
49.0,49.0,67.0,61.5,50.2222222222,50.1666666667,46.4736842105
41.0,41.0,59.0,67.5,69.6666666667,68.6666666667,73.0
95.0,95.0,86.5,81.75,79.8888888889,82.0,84.0526315789
48.0,48.0,42.0,51.0,49.2222222222,52.25,55.1578947368
45.0,45.0,57.0,63.5,75.7777777778,79.5833333333,78.4736842105
78.0,78.0,103.0,99.75,96.3333333333,101.5,104.421052632
41.0,41.0,97.0,83.0,68.3333333333,64.9166666667,64.0526315789
148.0,148.0,162.0,154.25,149.111111111,154.583333333,148.578947368
49.0,49.0,51.0,45.25,48.5555555556,50.5,53.5789473684
42.0,42.0,44.0,43.25,40.2222222222,39.5,38.1052631579
73.0,73.0,99.0,92.5,89.6666666667,86.5,82.2105263158
151.0,151.0,186.5,182.25,175.777777778,177.833333333,183.315789474
35.0,35.0,46.5,47.0,43.4444444444,45.5,44.9473684211
85.0,85.0,80.5,82.0,89.7777777778,88.9166666667,94.6315789474
97.0,97.0,99.0,87.5,74.1111111111,76.4166666667,135.263157895
63.0,63.0,75.0,65.5,58.4444444444,63.4166666667,66.4736842105
103.0,103.0,122.0,106.25,102.777777778,101.75,106.631578947
58.0,58.0,88.5,87.25,78.8888888889,79.4166666667,73.1052631579
37.0,37.0,52.0,48.25,45.5555555556,45.3333333333,43.4736842105
85.0,85.0,105.0,95.75,83.7777777778,87.0,95.8947368421
98.0,98.0,134.5,127.75,114.888888889,121.75,130.631578947
214.0,214.0,222.5,205.75,192.333333333,201.833333333,212.105263158
185.0,185.0,223.5,210.75,216.333333333,219.833333333,211.368421053
31.0,31.0,35.5,37.5,35.3333333333,34.75,36.4736842105
37.0,37.0,51.5,52.75,45.3333333333,45.0,45.1578947368
27.0,27.0,31.5,31.25,31.6666666667,33.8333333333,34.2631578947
68.0,68.0,79.5,188.75,118.777777778,108.583333333,96.2631578947
35.0,35.0,46.5,42.25,36.6666666667,34.9166666667,37.8421052632
26.0,26.0,28.5,22.75,24.8888888889,25.0,24.3684210526
144.0,144.0,154.0,140.5,139.0,143.25,144.789473684
61.0,61.0,72.5,73.75,86.4444444444,86.5,83.5263157895
20.0,20.0,25.0,22.5,21.5555555556,24.25,28.2105263158
57.0,57.0,79.0,75.25,71.0,73.0,68.1578947368
162.0,162.0,210.5,197.5,189.0,192.0,197.894736842
49.0,49.0,52.5,49.75,45.0,47.6666666667,47.6842105263
107.0,107.0,105.0,94.25,87.1111111111,87.5,89.7894736842
46.0,46.0,63.5,63.75,65.1111111111,63.3333333333,63.7368421053
20.0,20.0,22.5,21.25,19.7777777778,20.5833333333,22.5789473684
165.0,165.0,202.0,196.5,173.111111111,175.333333333,178.842105263
143.0,143.0,159.5,153.75,143.333333333,149.333333333,155.157894737
40.0,40.0,51.5,60.0,55.5555555556,57.4166666667,54.8947368421
151.0,151.0,177.0,171.5,169.333333333,174.166666667,182.684210526
,222.0,213.5,192.666666667,178.875,180.5,185.111111111
,53.0,49.5,44.0,48.5,52.5833333333,53.8333333333
,81.0,83.0,69.6666666667,67.5,63.0833333333,64.7222222222
,91.0,319.5,229.0,125.125,107.833333333,97.8333333333
,69.0,72.5,69.6666666667,79.625,82.25,80.3333333333
,25.0,23.5,21.6666666667,19.75,19.6666666667,22.7222222222
,66.0,72.5,58.0,46.375,45.3333333333,45.6111111111
,40.0,46.0,39.6666666667,35.875,35.9166666667,36.7777777778
,141.0,121.0,107.333333333,102.75,102.583333333,106.833333333
,171.0,154.5,137.666666667,117.0,125.333333333,132.444444444
,101.0,92.5,81.3333333333,72.75,72.9166666667,68.7777777778
,84.0,74.0,78.0,89.625,87.75,84.7777777778
,153.0,120.5,97.0,71.75,65.6666666667,65.3333333333
,103.0,96.5,90.0,84.625,84.6666666667,88.8333333333
,128.0,119.5,107.0,98.625,101.75,105.888888889
,239.0,219.0,207.0,174.125,178.5,179.611111111
,56.0,56.0,50.0,44.5,48.75,47.6111111111
,46.0,47.5,43.6666666667,40.0,39.0833333333,37.8888888889
,203.0,198.0,178.333333333,171.625,176.416666667,184.444444444
,31.0,27.0,21.6666666667,24.75,24.5833333333,24.2777777778
,78.0,80.5,77.3333333333,78.0,79.75,83.4444444444
,176.0,163.0,156.333333333,149.25,155.416666667,148.611111111
,36.0,34.5,32.6666666667,32.25,34.5833333333,34.6666666667
,87.0,70.5,66.3333333333,57.875,62.75,66.6666666667
,77.0,80.5,76.3333333333,73.25,72.0,74.7777777778
,176.0,168.5,157.333333333,143.375,151.0,155.833333333
,67.0,56.0,52.0,46.625,45.8333333333,43.8333333333
,262.0,239.0,219.333333333,220.25,218.916666667,212.833333333
,125.0,119.5,99.0,91.75,84.5833333333,82.7222222222
,119.0,114.0,97.0,81.5,79.4166666667,73.9444444444
,58.0,58.5,51.0,44.5,46.0833333333,45.5
,30.0,28.0,23.3333333333,21.75,25.0,28.6666666667
,259.0,242.5,209.333333333,192.375,196.583333333,199.888888889
,63.0,73.0,66.6666666667,57.5,57.9166666667,55.7222222222
,164.0,147.5,139.333333333,138.375,144.833333333,144.833333333
,36.0,55.5,52.0,49.375,53.0833333333,55.5555555556
,76.0,74.5,81.0,90.375,88.6666666667,95.1666666667
,231.0,209.5,203.0,189.625,201.333333333,212.0
,58.0,48.0,44.6666666667,36.875,36.0,38.0
,125.0,111.5,99.3333333333,83.625,88.75,96.5
,85.0,77.5,65.6666666667,50.375,48.75,46.3333333333
,101.0,92.5,84.3333333333,71.25,75.5833333333,137.388888889
58.0,48.0,44.6666666667,44.6666666667,35.3333333333,36.4615384615,37.1578947368
85.0,77.5,65.6666666667,65.6666666667,52.1111111111,49.6923076923,46.4210526316
67.0,56.0,52.0,52.0,47.6666666667,45.3076923077,44.2631578947
128.0,119.5,107.0,107.0,101.111111111,103.692307692,105.684210526
63.0,73.0,66.6666666667,66.6666666667,57.5555555556,58.6923076923,55.3157894737
164.0,147.5,139.333333333,139.333333333,144.444444444,147.307692308,142.842105263
40.0,46.0,39.6666666667,39.6666666667,36.6666666667,36.0769230769,36.5789473684
259.0,242.5,209.333333333,209.333333333,194.444444444,199.769230769,202.315789474
222.0,213.5,192.666666667,192.666666667,184.888888889,182.923076923,187.052631579
76.0,74.5,81.0,81.0,89.3333333333,89.6153846154,96.3684210526
78.0,80.5,77.3333333333,77.3333333333,81.0,81.3846153846,84.3157894737
153.0,120.5,97.0,97.0,71.7777777778,65.0769230769,66.0
171.0,154.5,137.666666667,137.666666667,121.222222222,129.230769231,133.473684211
25.0,23.5,21.6666666667,21.6666666667,20.6666666667,20.8461538462,23.1052631579
125.0,111.5,99.3333333333,99.3333333333,86.4444444444,89.5384615385,96.9473684211
53.0,49.5,44.0,44.0,49.2222222222,53.7692307692,53.6842105263
36.0,55.5,52.0,52.0,50.8888888889,54.0,55.4736842105
101.0,92.5,84.3333333333,84.3333333333,73.5555555556,77.9230769231,133.684210526
84.0,74.0,78.0,78.0,90.5555555556,87.8461538462,83.4210526316
87.0,70.5,66.3333333333,66.3333333333,62.5555555556,67.1538461538,66.6315789474
