NextExisting1Value,NextExisting2Value,NextExisting3Value,NextExisting7Value,NextExisting14Value,NextExisting21Value,NextExisting30Value
,152.0,152.0,127.75,118.888888889,129.133333333,134.904761905
152.0,152.0,128.0,131.2,118.888888889,131.25,134.904761905
,104.0,104.0,126.0,122.555555556,129.866666667,134.19047619
104.0,104.0,104.0,120.4,121.1,129.866666667,133.681818182
104.0,104.0,127.5,118.2,123.1,130.466666667,135.863636364
,151.0,148.0,115.2,127.2,133.066666667,137.380952381
151.0,148.0,148.0,115.2,127.909090909,133.9375,139.181818182
145.0,145.0,121.5,111.8,129.636363636,135.0625,139.181818182
,98.0,95.5,103.5,131.272727273,136.0625,138.904761905
98.0,95.5,93.3333333333,119.8,131.272727273,136.0625,138.727272727
93.0,91.0,91.0,121.8,134.6,138.6,140.454545455
89.0,89.0,111.5,128.0,136.6,141.533333333,142.181818182
,134.0,134.0,139.2,142.0,143.8,144.714285714
134.0,134.0,159.5,138.5,142.454545455,144.3125,146.590909091
,185.0,146.5,144.5,145.636363636,145.0,148.090909091
185.0,146.5,139.0,147.142857143,146.916666667,147.0,147.260869565
108.0,116.0,125.666666667,140.833333333,143.454545455,144.875,145.695652174
124.0,134.5,134.666666667,147.4,147.0,147.333333333,146.043478261
145.0,140.0,150.0,145.2,148.3,148.066666667,145.739130435
135.0,152.5,156.0,144.8,146.1,147.466666667,143.608695652
170.0,166.5,166.5,147.2,147.8,147.2,144.0
163.0,163.0,163.0,147.0,145.333333333,145.571428571,142.761904762
,,113.0,146.6,146.888888889,147.214285714,142.666666667
,113.0,128.0,146.6,147.3,148.533333333,144.863636364
113.0,128.0,134.333333333,146.6,147.3,147.3125,147.826086957
143.0,145.0,153.0,151.4,149.5,149.5625,149.130434783
147.0,158.0,159.0,147.4,148.8,147.875,146.695652174
169.0,165.0,165.0,148.4,147.2,146.0,146.681818182
161.0,161.0,161.0,143.25,144.777777778,141.4375,148.227272727
,,137.0,147.25,147.555555556,140.133333333,148.136363636
,137.0,130.0,148.0,149.5,140.133333333,148.391304348
137.0,130.0,137.333333333,148.0,147.636363636,141.4375,148.391304348
123.0,137.5,137.5,147.6,148.727272727,144.8125,148.565217391
152.0,152.0,164.5,150.2,148.090909091,150.4375,150.086956522
,177.0,164.0,146.0,144.909090909,149.875,150.0
177.0,164.0,164.0,146.0,140.833333333,146.176470588,149.541666667
151.0,151.0,143.0,147.8,137.545454545,144.25,148.347826087
,135.0,135.5,151.0,136.2,147.5,146.347826087
135.0,135.5,134.0,147.333333333,138.454545455,148.176470588,146.041666667
136.0,133.5,133.5,149.666666667,143.545454545,149.294117647,146.52173913
131.0,131.0,158.5,146.333333333,150.545454545,150.125,147.0
,186.0,176.5,144.0,151.636363636,150.75,151.0
186.0,176.5,160.666666667,137.142857143,146.25,151.176470588,151.0
167.0,148.0,148.333333333,129.0,142.636363636,149.058823529,149.333333333
129.0,139.0,131.333333333,121.4,145.909090909,147.411764706,147.047619048
149.0,132.5,127.333333333,127.8,148.636363636,148.5625,146.19047619
116.0,116.5,109.666666667,136.2,149.090909091,145.8125,146.238095238
117.0,106.5,106.5,155.6,152.4,147.25,153.857142857
96.0,96.0,96.0,160.8,154.8,149.266666667,155.952380952
8.0,8.0,8.0,52.0,46.8,41.7333333333,41.9523809524
,,161.0,159.0,161.0,153.071428571,158.95
,,68.0,56.2,49.0,44.1428571429,43.65
,68.0,65.0,56.2,48.2727272727,43.2666666667,43.1904761905
,161.0,176.0,159.0,160.0,157.466666667,158.857142857
68.0,65.0,67.3333333333,59.3333333333,46.75,43.2666666667,42.4090909091
161.0,176.0,188.333333333,166.333333333,158.25,157.466666667,159.409090909
62.0,67.0,61.3333333333,54.5,44.8181818182,41.5,41.1904761905
191.0,202.0,182.333333333,166.0,158.0,157.214285714,159.333333333
72.0,61.0,50.3333333333,48.6666666667,41.8181818182,39.1428571429,39.8095238095
213.0,178.0,147.666666667,159.833333333,150.181818182,152.071428571,158.380952381
50.0,39.5,39.5,44.0,37.8181818182,36.7857142857,38.4285714286
143.0,115.0,115.0,149.2,143.454545455,144.785714286,159.047619048
87.0,87.0,145.0,148.8,143.5,145.285714286,166.19047619
29.0,29.0,52.0,41.6,36.6,37.5,39.0476190476
,203.0,181.0,163.0,149.777777778,158.785714286,172.714285714
,75.0,57.0,41.8,37.4444444444,38.1428571429,40.7619047619
203.0,181.0,172.0,160.833333333,156.7,158.933333333,172.714285714
75.0,57.0,47.0,41.6666666667,36.8,39.4666666667,40.7619047619
39.0,33.0,33.0,34.1666666667,32.5555555556,36.9285714286,39.3333333333
159.0,156.5,156.5,150.166666667,151.555555556,155.785714286,173.80952381
27.0,27.0,32.5,33.2,31.75,36.5714285714,38.4761904762
154.0,154.0,147.5,148.4,150.625,155.642857143,173.666666667
,141.0,149.5,138.6,146.25,156.857142857,174.333333333
,38.0,34.0,33.6,32.0,36.5,39.0476190476
141.0,149.5,149.666666667,138.666666667,142.333333333,156.857142857,177.090909091
38.0,34.0,36.3333333333,32.6666666667,32.7777777778,36.5,39.9545454545
30.0,35.5,33.6666666667,31.6,35.2222222222,36.1428571429,41.1363636364
158.0,154.0,149.0,138.2,143.333333333,159.0,183.181818182
41.0,35.5,35.5,32.0,36.1111111111,37.0714285714,41.9090909091
150.0,144.5,144.5,133.25,156.444444444,163.928571429,183.909090909
139.0,139.0,122.0,150.5,157.666666667,174.142857143,184.727272727
30.0,30.0,29.5,29.5,38.0,38.6428571429,41.5454545455
,105.0,122.0,154.333333333,160.0,180.214285714,186.904761905
,29.0,28.5,29.3333333333,39.0,41.1428571429,42.0952380952
29.0,28.5,28.5,29.3333333333,38.4444444444,41.1428571429,42.0952380952
105.0,122.0,122.0,154.333333333,159.666666667,180.214285714,186.904761905
139.0,139.0,139.0,159.0,167.0,188.857142857,191.19047619
28.0,28.0,28.0,29.3333333333,38.1111111111,42.2857142857,42.4285714286
,,31.0,33.0,39.375,41.7857142857,43.5714285714
,,219.0,149.666666667,170.5,190.071428571,195.952380952
,31.0,31.0,39.75,38.6666666667,41.6,43.3636363636
,219.0,219.0,149.75,170.555555556,188.6,197.727272727
31.0,31.0,31.0,39.4,39.1,42.6875,43.2608695652
219.0,219.0,219.0,175.0,176.2,191.5,197.913043478
,,119.0,163.4,183.6,195.0,197.304347826
,,29.0,44.8,42.3,44.75,43.3913043478
,119.0,115.0,163.4,187.272727273,193.764705882,196.416666667
,29.0,34.0,44.8,44.3636363636,44.8823529412,42.1666666667
119.0,115.0,126.666666667,162.333333333,187.272727273,192.333333333,198.2
29.0,34.0,42.6666666667,43.0,44.3636363636,44.2222222222,42.52
39.0,49.5,45.6666666667,42.5,45.8181818182,45.1176470588,42.76
111.0,130.5,179.0,171.0,197.0,196.647058824,201.28
60.0,49.0,52.0,43.2,44.1818181818,45.5,44.08
150.0,213.0,195.666666667,183.0,201.090909091,202.0,210.08
276.0,218.5,218.5,187.2,202.727272727,204.8125,216.0
38.0,48.0,48.0,37.8,42.2727272727,44.0,44.2
161.0,161.0,159.0,177.4,199.0,202.5,215.44
58.0,58.0,46.0,38.8,44.1818181818,44.875,43.8
,157.0,164.0,203.8,209.363636364,207.125,217.708333333
,34.0,30.0,39.8,44.7272727273,43.6875,43.2083333333
157.0,164.0,164.0,207.166666667,206.416666667,206.823529412,216.2
34.0,30.0,30.0,44.0,44.9166666667,43.5294117647,42.12
171.0,171.0,171.0,217.2,207.333333333,209.647058824,219.04
26.0,26.0,29.5,46.0,44.8333333333,43.5294117647,41.32
,33.0,38.0,49.8,46.5454545455,42.8235294118,40.84
,171.0,199.0,228.2,210.636363636,209.941176471,222.72
171.0,199.0,230.333333333,216.166666667,210.636363636,211.666666667,222.72
33.0,38.0,46.3333333333,45.0,46.5454545455,43.2777777778,40.84
43.0,53.0,57.0,46.0,46.8181818182,43.3888888889,40.84
227.0,260.0,248.0,215.666666667,212.818181818,213.055555556,225.76
293.0,258.5,258.5,217.0,213.909090909,218.833333333,225.56
63.0,64.0,64.0,48.6666666667,47.6363636364,45.0,39.76
224.0,224.0,225.0,214.0,208.636363636,219.111111111,222.75
65.0,65.0,55.0,48.8333333333,45.4545454545,45.0,38.7916666667
,45.0,33.0,45.8333333333,43.2727272727,42.9444444444,36.875
,226.0,191.0,205.666666667,206.636363636,221.222222222,222.208333333
226.0,191.0,183.333333333,200.285714286,206.5,221.222222222,222.208333333
45.0,33.0,35.0,44.0,42.5,42.9444444444,36.875
21.0,30.0,39.6666666667,43.8333333333,39.9166666667,41.3333333333,35.625
156.0,162.0,186.333333333,196.0,202.333333333,218.666666667,221.875
168.0,201.5,226.0,204.0,209.416666667,222.666666667,228.25
39.0,49.0,54.0,48.4,42.4166666667,40.9444444444,35.9166666667
59.0,61.5,56.6666666667,47.8,42.0833333333,39.5555555556,35.7826086957
235.0,255.0,228.0,209.4,211.75,227.944444444,230.869565217
64.0,55.5,48.0,46.4,43.1666666667,38.4117647059,35.0434782609
275.0,224.5,205.666666667,210.2,219.75,227.529411765,233.434782609
174.0,171.0,171.0,202.2,221.666666667,225.882352941,232.652173913
47.0,40.0,40.0,41.4,43.0833333333,36.5882352941,33.6956521739
33.0,33.0,33.0,40.2,41.5,34.7647058824,32.4782608696
168.0,168.0,168.0,207.8,229.0,228.705882353,235.608695652
